Robin	345	BeastBoy	20
Robin	345	Raven	12
Robin	345	Robin	3
Robin	345	Starfire	30
Robin	345	Cyborg	18
Raven	192	Starfire	5
Raven	192	Robin	4
Raven	192	Cyborg	7
Raven	192	BeastBoy	5
Starfire	201	Robin	18
Starfire	201	Raven	10
Starfire	201	Cyborg	7
Starfire	201	BeastBoy	10
Starfire	201	Starfire	3
Cyborg	247	Robin	8
Cyborg	247	Starfire	6
Cyborg	247	Cyborg	5
Cyborg	247	BeastBoy	11
Cyborg	247	Raven	5
BeastBoy	288	Raven	18
BeastBoy	288	Starfire	2
BeastBoy	288	Cyborg	12
BeastBoy	288	Robin	5
BeastBoy	288	BeastBoy	3
