Grass	pokemon	Bulbasaur	001	Pallet Town	place	city/town
Grass	pokemon	Oddish	043	Route 13	place	route
Grass	pokemon	Oddish	043	Route 14	place	route
Grass	pokemon	Oddish	043	Route 15	place	route
Grass	pokemon	Oddish	043	Route 24	place	route
Grass	pokemon	Oddish	043	Route 25	place	route
Grass	pokemon	Oddish	043	route 5	place	route
Grass	pokemon	Oddish	043	route 6	place	route
Grass	pokemon	Oddish	043	route 7	place	route
Grass	pokemon	Oddish	043	route 12	place	route
Grass	pokemon	Gloom	044	Route 13	place	route
Grass	pokemon	Gloom	044	Route 14	place	route
Grass	pokemon	Gloom	044	Route 15	place	route
Grass	pokemon	Gloom	044	route 12	place	route
Grass	pokemon	Paras	046	Mt. Moon	place	landmark
Grass	pokemon	Parasect	047	Safari Zone	place	landmark
Grass	pokemon	Parasect	047	Cerulean Cave	place	landmark
Grass	pokemon	Exeggcute	102	Safari Zone	place	landmark
Grass	pokemon	Tangela	114	Route 21	place	route
Grass	pokemon	Bellsprout	069	Route 13	place	route
Grass	pokemon	Bellsprout	069	Route 14	place	route
Grass	pokemon	Bellsprout	069	Route 15	place	route
Grass	pokemon	Bellsprout	069	Route 24	place	route
Grass	pokemon	Bellsprout	069	Route 25	place	route
Grass	pokemon	Bellsprout	069	route 5	place	route
Grass	pokemon	Bellsprout	069	route 6	place	route
Grass	pokemon	Bellsprout	069	route 7	place	route
Grass	pokemon	Bellsprout	069	route 12	place	route
Grass	pokemon	Weepinbell	070	Route 13	place	route
Grass	pokemon	Weepinbell	070	Route 14	place	route
Grass	pokemon	Weepinbell	070	Route 15	place	route
Grass	pokemon	Weepinbell	070	route 12	place	route
Poison	pokemon	Bulbasaur	001	Pallet Town	place	city/town
Poison	pokemon	Weedle	013	Viridian Forest	place	landmark
Poison	pokemon	Weedle	013	Route 24	place	route
Poison	pokemon	Weedle	013	Route 25	place	route
Poison	pokemon	Weedle	013	route 2	place	route
Poison	pokemon	Kakuna	014	Viridian Forest	place	landmark
Poison	pokemon	Kakuna	014	Route 24	place	route
Poison	pokemon	Kakuna	014	Route 25	place	route
Poison	pokemon	Ekans	023	Route 23	place	route
Poison	pokemon	Ekans	023	route 4	place	route
Poison	pokemon	Ekans	023	route 8	place	route
Poison	pokemon	Ekans	023	route 9	place	route
Poison	pokemon	Ekans	023	route 10	place	route
Poison	pokemon	Ekans	023	route 11	place	route
Poison	pokemon	Arbok	024	Cerulean Cave	place	landmark
Poison	pokemon	Arbok	024	Route 23	place	route
Poison	pokemon	Nidoran-Female	029	Safari Zone	place	landmark
Poison	pokemon	Nidoran-Female	029	Route 22	place	route
Poison	pokemon	Nidorina	030	Safari Zone	place	landmark
Poison	pokemon	Nidorina	030	Celadon Game Corner	place	landmark
Poison	pokemon	Nidoran-Male	032	Safari Zone	place	landmark
Poison	pokemon	Nidoran-Male	032	Route 22	place	route
Poison	pokemon	Nidorino	033	Lavender Town	place	city/town
Poison	pokemon	Nidorino	033	Safari Zone	place	landmark
Poison	pokemon	Nidorino	033	Celadon Game Corner	place	landmark
Poison	pokemon	Zubat	041	Rock Tunnel	place	landmark
Poison	pokemon	Zubat	041	Mt. Moon	place	landmark
Poison	pokemon	Zubat	041	Seafoam I	place	landmark
Poison	pokemon	Zubat	041	Victory Road	place	landmark
Poison	pokemon	Golbat	042	Cerulean Cave	place	landmark
Poison	pokemon	Golbat	042	Seafoam I	place	landmark
Poison	pokemon	Golbat	042	Victory Road	place	landmark
Poison	pokemon	Oddish	043	Route 13	place	route
Poison	pokemon	Oddish	043	Route 14	place	route
Poison	pokemon	Oddish	043	Route 15	place	route
Poison	pokemon	Oddish	043	Route 24	place	route
Poison	pokemon	Oddish	043	Route 25	place	route
Poison	pokemon	Oddish	043	route 5	place	route
Poison	pokemon	Oddish	043	route 6	place	route
Poison	pokemon	Oddish	043	route 7	place	route
Poison	pokemon	Oddish	043	route 12	place	route
Poison	pokemon	Gloom	044	Route 13	place	route
Poison	pokemon	Gloom	044	Route 14	place	route
Poison	pokemon	Gloom	044	Route 15	place	route
Poison	pokemon	Gloom	044	route 12	place	route
Poison	pokemon	Venonat	048	Safari Zone	place	landmark
Poison	pokemon	Venonat	048	Route 13	place	route
Poison	pokemon	Venonat	048	Route 14	place	route
Poison	pokemon	Venonat	048	Route 15	place	route
Poison	pokemon	Venonat	048	route 12	place	route
Poison	pokemon	Venomoth	049	Cerulean Cave	place	landmark
Poison	pokemon	Venomoth	049	Victory Road	place	landmark
Poison	pokemon	Koffing	109	Pokemon Mansion	place	landmark
Poison	pokemon	Weezing	110	Pokemon Mansion	place	landmark
Poison	pokemon	Bellsprout	069	Route 13	place	route
Poison	pokemon	Bellsprout	069	Route 14	place	route
